original_title,year,genre 1 kaggle,genre 2 kaggle,genre 3 kaggle,duration,country,language_1,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,Budget - Inflation Adjusted, USA Gross Income - Inflation Adjusted ,USA_Profit, WW Gross Income - Inflation Adjusted ,WorldWide_Profit
Pirates of the Caribbean: At World's End,2007,Action, Adventure, Fantasy,169,USA,English,Gore Verbinski,"Ted Elliott, Terry Rossio","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Bill Nighy, Jonathan Pryce, Lee Arenberg, Mackenzie Crook, Kevin McNally, David Bailie, Stellan Skarsgård, Tom Hollander, Naomie Harris, Martin Klebba",Johnny Depp,"Johnny Depp, Geoffrey Rush","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.","Captain Barbossa, Will Turner",7.1,"$374,469,716.70 ","$386,228,596.30 ","$86,228,596.30 ","$138,910,650,492,343,000.00 ","$138,910,650,117,873,000.00 "
Harry Potter and the Order of the Phoenix,2007,Action, Adventure, Family,138,"UK, USA",English,David Yates,"Michael Goldenberg, J.K. Rowling","Daniel Radcliffe, Harry Melling, Jason Boyd, Richard Macklin, Kathryn Hunter, Miles Jupp, Fiona Shaw, Richard Griffiths, Jessica Hynes, Adrian Rawlins, Geraldine Somerville, Robert Pattinson, Ralph Fiennes, Natalia Tena, Brendan Gleeson",Daniel Radcliffe,"Daniel Radcliffe, Harry Melling","With their warning about Lord Voldemort's (Ralph Fiennes') return scoffed at, Harry (Daniel Radcliffe) and Dumbledore (Sir Michael Gambon) are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",With their warning about Lord,7.5,"$187,234,858.35 ","$364,924,999.14 ","$214,924,999.14 ","$136,184,009,635,964,000.00 ","$136,184,009,448,729,000.00 "
Spider-Man 3,2007,Action, Adventure, Sci-Fi,139,USA,English,Sam Raimi,"Sam Raimi, Ivan Raimi","Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, Rosemary Harris, J.K. Simmons, James Cromwell, Theresa Russell, Dylan Baker, Bill Nunn, Bruce Campbell, Elizabeth Banks, Ted Raimi",Tobey Maguire,"Tobey Maguire, Kirsten Dunst","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",A strange black entity from another,6.2,"$322,043,956.36 ","$420,068,024.08 ","$162,068,024.08 ","$129,368,549,789,942,000.00 ","$129,368,549,467,898,000.00 "
Shrek the Third,2007,Animation, Adventure, Comedy,93,USA,English,"Chris Miller, Raman Hui","Jeffrey Price, Peter S. Seaman","Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Julie Andrews, John Cleese, Rupert Everett, Eric Idle, Justin Timberlake, Susanne Blakeslee, Cody Cameron, Larry King, Christopher Knights, John Krasinski, Ian McShane",Mike Myers,"Mike Myers, Eddie Murphy","When his new father-in-law, King Harold falls ill, Shrek is looked at as the heir to the land of Far, Far Away. Not one to give up his beloved swamp, Shrek recruits his friends Donkey and Puss in Boots to install the rebellious Artie as the new king. Princess Fiona, however, rallies a band of royal girlfriends to fend off a coup d'etat by the jilted Prince Charming.","When his new father-in-law, King",6.1,"$199,717,182.24 ","$402,829,486.68 ","$242,829,486.68 ","$117,571,076,258,468,000.00 ","$117,571,076,058,751,000.00 "
Transformers,2007,Action, Adventure, Sci-Fi,144,USA,English,Michael Bay,"Roberto Orci, Alex Kurtzman","Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson, Rachael Taylor, Anthony Anderson, Jon Voight, John Turturro, Michael O'Neill, Kevin Dunn, Julie White, Amaury Nolasco, Zack Ward, Luis Echagarruga, Patrick Mulderrig",Shia LaBeouf,"Shia LaBeouf, Megan Fox","An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",An ancient struggle between two,7,"$187,234,858.35 ","$398,493,438.17 ","$248,493,438.17 ","$102,587,520,372,111,000.00 ","$102,587,520,184,876,000.00 "
Ratatouille,2007,Animation, Adventure, Comedy,111,USA,English,"Brad Bird, Jan Pinkava","Brad Bird, Jan Pinkava","Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn, Peter O'Toole, Brad Garrett, Janeane Garofalo, Will Arnett, Julius Callahan, James Remar, John Ratzenberger, Teddy Newton, Tony Fucile, Jake Steinfeld",Patton Oswalt,"Patton Oswalt, Ian Holm",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,A rat who can cook makes an unusual,8,"$187,234,858.35 ","$257,692,151.89 ","$107,692,151.89 ","$90,158,701,845,076,400.00 ","$90,158,701,657,841,500.00 "
I Am Legend,2007,Action, Adventure, Drama,101,USA,English,Francis Lawrence,"Mark Protosevich, Akiva Goldsman","Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield, Willow Smith, Darrell Foster, April Grace, Dash Mihok, Joanna Numata, Abbey, Kona, Samuel Glen, James McCauley, Marin Ireland, Pedro Mojica",Will Smith,"Will Smith, Alice Braga","Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure in this post-apocalyptic action thriller.",Years after a plague kills most,7.2,"$187,234,858.35 ","$320,038,059.40 ","$170,038,059.40 ","$84,620,174,792,559,300.00 ","$84,620,174,605,324,400.00 "
The Simpsons Movie,2007,Animation, Adventure, Comedy,87,USA,English,David Silverman,"James L. Brooks, Matt Groening","Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Harry Shearer, Pamela Hayden, Tress MacNeille, Albert Brooks, Karl Wiedergott, Marcia Wallace, Russi Taylor, Maggie Roswell, Phil Rosenthal, Billie Joe Armstrong",Dan Castellaneta,"Dan Castellaneta, Julie Kavner","After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",After Homer pollutes the town's,7.3,"$93,617,429.17 ","$228,595,056.03 ","$153,595,056.03 ","$77,537,905,496,407,600.00 ","$77,537,905,402,790,200.00 "
National Treasure: Book of Secrets,2007,Action, Adventure, Mystery,124,USA,English,Jon Turteltaub,"Marianne Wibberley, Cormac Wibberley","Nicolas Cage, Justin Bartha, Diane Kruger, Jon Voight, Helen Mirren, Ed Harris, Harvey Keitel, Bruce Greenwood, Ty Burrell, Michael Maize, Timothy V. Murphy, Alicia Coppola, Armando Riesco, Albert Hall, Joel Gretsch",Nicolas Cage,"Nicolas Cage, Justin Bartha",Benjamin Gates must follow a clue left in,Benjamin Gates must follow a clue,6.5,"$162,270,210.57 ","$274,566,332.76 ","$144,566,332.76 ","$66,382,801,678,485,700.00 ","$66,382,801,516,215,500.00 "
The Bourne Ultimatum,2007,Action, Mystery, Thriller,115,"USA, Germany, France, Spain",English,Paul Greengrass,"Tony Gilroy, Scott Z. Burns","Matt Damon, Julia Stiles, David Strathairn, Scott Glenn, Paddy Considine, Edgar Ramírez, Albert Finney, Joan Allen, Tom Gallop, Corey Johnson, Daniel Brühl, Joey Ansah, Colin Stinton, Dan Fredenburgh, Lucy Liemann",Matt Damon,"Matt Damon, Julia Stiles",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Jason Bourne dodges a ruthless,8,"$137,305,562.79 ","$283,936,757.13 ","$173,936,757.13 ","$64,194,016,584,945,300.00 ","$64,194,016,447,639,700.00 "
Live Free or Die Hard,2007,Action, Thriller,,128,"USA, UK",English,Len Wiseman,"Mark Bomback, Mark Bomback","Bruce Willis, Timothy Olyphant, Justin Long, Maggie Q, Cliff Curtis, Jonathan Sadowski, Andrew Friedman, Kevin Smith, Yorgo Constantine, Cyril Raffaelli, Chris Palermo, Mary Elizabeth Winstead, Sung Kang, Zeljko Ivanek, Christina Chang",Bruce Willis,"Bruce Willis, Timothy Olyphant",John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,John McClane and a young hacker,7.1,"$137,305,562.79 ","$167,923,958.10 ","$57,923,958.10 ","$56,107,388,975,279,400.00 ","$56,107,388,837,973,800.00 "
The Golden Compass,2007,Adventure, Family, Fantasy,113,"UK, USA",English,Chris Weitz,"Chris Weitz, Philip Pullman","Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker, Freddie Highmore, Ian McKellen, Eva Green, Jim Carter, Tom Courtenay, Ian McShane, Sam Elliott, Christopher Lee, Kristin Scott Thomas, Edward de Souza, Kathy Bates",Nicole Kidman,"Nicole Kidman, Daniel Craig","In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.","In a parallel universe, young",6.1,"$224,681,830.02 ","$87,510,736.81 ","($92,489,263.19)","$53,806,010,245,216,200.00 ","$53,806,010,020,534,400.00 "
Alvin and the Chipmunks,2007,Animation, Comedy, Family,92,USA,English,Tim Hill,"Jon Vitti, Will McRobb","Jason Lee, David Cross, Cameron Richardson, Jane Lynch, Justin Long, Matthew Gray Gubler, Jesse McCartney, Allison Karman, Tiara Parker, Kira Verrastro, Veronica Alicino, Beth Riesgraf, Adriane Lenox, Don Tiffany, Lorne Green",Jason Lee,"Jason Lee, David Cross",Three musical chipmunks are discovered by an aspiring songwriter and wants to become famous by using their amazing singing abilities.,Three musical chipmunks are discovered,5.2,"$74,893,943.34 ","$271,274,567.95 ","$211,274,567.95 ","$52,811,181,150,382,000.00 ","$52,811,181,075,488,100.00 "
Enchanted,2007,Animation, Comedy, Family,107,USA,English,Kevin Lima,Bill Kelly,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall, Idina Menzel, Rachel Covey, Susan Sarandon, Julie Andrews, Jeff Bennett, Kevin Lima, Emma Rose Lima, Teala Dunn, Fred Tatasciore, Courtney Williams, William Huntley",Amy Adams,"Amy Adams, Patrick Dempsey","A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.",A young maiden in a land called,7,"$106,099,753.06 ","$159,533,163.98 ","$74,533,163.98 ","$49,216,996,750,421,500.00 ","$49,216,996,644,321,800.00 "
Ocean's Thirteen,2007,Action, Crime, Thriller,122,USA,English,Steven Soderbergh,"Brian Koppelman, David Levien","George Clooney, Brad Pitt, Matt Damon, Michael Mantell, Elliott Gould, Ray Xifo, Al Pacino, Adam Lazarre-White, Eddie Jemison, Don Cheadle, Shaobo Qin, Casey Affleck, Scott Caan, Bernie Mac, Carl Reiner",George Clooney,"George Clooney, Brad Pitt","Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",Danny Ocean rounds up the boys,6.9,"$106,099,753.06 ","$146,236,321.02 ","$61,236,321.02 ","$44,999,788,725,886,600.00 ","$44,999,788,619,786,800.00 "
4: Rise of the Silver Surfer,2007,Action, Adventure, Fantasy,92,"USA, Germany, UK",English,Tim Story,"Don Payne, Mark Frost","Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington, Andre Braugher, Laurence Fishburne, Doug Jones, Beau Garrett, Brian Posehn, Zach Grenier, Dawn Chubai, Chris Gailus, Kevin McNulty",Ioan Gruffudd,"Ioan Gruffudd, Jessica Alba",The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,The Fantastic Four learn that,5.6,"$162,270,210.57 ","$164,668,986.18 ","$34,668,986.18 ","$43,641,105,632,038,000.00 ","$43,641,105,469,767,800.00 "
Bee Movie,2007,Animation, Adventure, Comedy,91,"USA, Australia",English,"Simon J. Smith, Steve Hickner","Jerry Seinfeld, Spike Feresten","Jerry Seinfeld, Renée Zellweger, Matthew Broderick, Patrick Warburton, John Goodman, Chris Rock, Kathy Bates, Barry Levinson, Larry King, Ray Liotta, Sting, Oprah Winfrey, Larry Miller, Megan Mullally, Rip Torn",Jerry Seinfeld,"Jerry Seinfeld, Renée Zellweger","Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them.","Barry B. Benson, a bee just graduated",6.1,"$187,234,858.35 ","$158,065,261.41 ","$8,065,261.41 ","$42,427,071,984,138,000.00 ","$42,427,071,796,903,100.00 "
American Gangster,2007,Biography, Crime, Drama,157,"USA, UK",English,Ridley Scott,"Steven Zaillian, Mark Jacobson","Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin, Lymari Nadal, Ted Levine, Roger Guenveur Smith, John Hawkes, RZA, Yul Vazquez, Malcolm Goodwin, Ruby Dee, Ruben Santiago-Hudson, Carla Gugino, Skyler Fortgang",Denzel Washington,"Denzel Washington, Russell Crowe","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",An outcast New York City cop is,7.8,"$124,823,238.90 ","$162,475,725.79 ","$62,475,725.79 ","$38,992,756,547,067,300.00 ","$38,992,756,422,244,100.00 "
Rush Hour 3,2007,Action, Comedy, Crime,91,"USA, Germany",English,Brett Ratner,"Jeff Nathanson, Ross LaManna","Chris Tucker, Jackie Chan, Max von Sydow, Hiroyuki Sanada, Yvan Attal, Yûki Kudô, Noémie Lenoir, Jingchu Zhang, Tzi Ma, Dana Ivey, Henry O, Mia Tyler, Michael Chow, David Niven Jr., Oanh Nguyen",Chris Tucker,"Chris Tucker, Jackie Chan","After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.",After an attempted assassination,6.2,"$174,752,534.46 ","$174,909,771.80 ","$34,909,771.80 ","$37,307,565,017,856,000.00 ","$37,307,564,843,103,500.00 "
Juno,2007,Comedy, Drama,,96,"USA, Canada",English,Jason Reitman,Diablo Cody,"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman, Allison Janney, J.K. Simmons, Olivia Thirlby, Eileen Pedde, Rainn Wilson, Daniel Clark, Darla Fay, Aman Johal, Valerie Tian, Emily Perkins, Kaaren de Zilva",Ellen Page,"Ellen Page, Michael Cera","Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.","Faced with an unplanned pregnancy,",7.4,"$9,361,742.92 ","$179,115,437.44 ","$171,615,437.44 ","$33,589,134,344,477,600.00 ","$33,589,134,335,115,900.00 "
Mr. Bean's Holiday,2007,Comedy, Family,,90,"UK, France, Germany, USA",English,Steve Bendelack,"Rowan Atkinson, Richard Curtis","Rowan Atkinson, Steve Pemberton, Lily Atkinson, Preston Nyman, Sharlit Deyzac, Francois Touch, Emma de Caunes, Arsène Mosca, Stéphane Debac, Willem Dafoe, Philippe Spall, Jean Rochefort, Karel Roden, Maxim Baldry, Pascal Jounier",Rowan Atkinson,"Rowan Atkinson, Steve Pemberton","Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling, and true love.",Mr. Bean wins a trip to Cannes,6.4,"$31,205,809.72 ","$41,568,843.47 ","$16,568,843.47 ","$33,567,918,519,992,900.00 ","$33,567,918,488,787,100.00 "
Ghost Rider,2007,Action, Fantasy, Thriller,110,"USA, Australia",English,Mark Steven Johnson,"Mark Steven Johnson, Mark Steven Johnson","Matt Long, Raquel Alessi, Brett Cullen, Peter Fonda, Nicolas Cage, Donal Logue, Tony Ghosthawk, Hugh Sexton, Marcus Jones, Matt Norman, Lawrence Cameron Steele, Wes Bentley, Eddie Baroo, Jessica Napier, Laurence Breuls",Matt Long,"Matt Long, Raquel Alessi","When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.",When motorcycle rider Johnny Blaze,5.2,"$137,305,562.79 ","$144,548,551.06 ","$34,548,551.06 ","$33,063,803,279,942,800.00 ","$33,063,803,142,637,200.00 "
Knocked Up,2007,Comedy, Romance,,129,USA,English,Judd Apatow,Judd Apatow,"Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann, Jason Segel, Jay Baruchel, Jonah Hill, Martin Starr, Charlyne Yi, Iris Apatow, Maude Apatow, Joanna Kerns, Harold Ramis, Alan Tudyk, Kristen Wiig",Seth Rogen,"Seth Rogen, Katherine Heigl","For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.",For fun-loving party animal Ben,6.9,"$37,446,971.67 ","$185,698,180.68 ","$155,698,180.68 ","$31,789,466,722,963,100.00 ","$31,789,466,685,516,100.00 "
Hairspray,2007,Comedy, Drama, Musical,117,"USA, UK, Canada",English,Adam Shankman,"Leslie Dixon, John Waters","John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Brittany Snow, Zac Efron, Elijah Kelley, Allison Janney, Nikki Blonsky, Tayla Parx, Jayne Eastwood, Paul Dooley, Jerry Stiller",John Travolta,"John Travolta, Michelle Pfeiffer",Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,Pleasantly plump teenager Tracy,6.6,"$93,617,429.17 ","$148,379,692.06 ","$73,379,692.06 ","$29,423,279,939,129,200.00 ","$29,423,279,845,511,800.00 "
Beowulf,2007,Animation, Action, Adventure,115,"USA, UK",English,Robert Zemeckis,"Neil Gaiman, Roger Avary","Robin Wright, Anthony Hopkins, Paul Baker, John Bilezikjian, Rod D. Harbour, Brice Martin, Sonje Fortag, Sharisse Baker-Bernard, Charlotte Salt, Julene Renee, Greg Ellis, Rik Young, Sebastian Roché, Leslie Zemeckis, John Malkovich",Robin Wright,"Robin Wright, Anthony Hopkins","The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, and later, Grendel's Mother, who begins killing out of revenge.",The warrior Beowulf must fight,6.2,"$187,234,858.35 ","$102,705,283.69 ","($47,294,716.31)","$28,388,431,276,997,100.00 ","$28,388,431,089,762,200.00 "
Paranormal Activity,2007,Horror, Mystery, Thriller,86,USA,English,Oren Peli,Oren Peli,"Katie Featherston, Micah Sloat, Mark Fredrichs, Amber Armstrong, Ashley Palmer",Katie Featherston,"Katie Featherston, Micah Sloat","After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.","After moving into a suburban home,",6.3,"$18,723.49 ","$134,707,754.02 ","$134,692,754.02 ","$27,949,300,729,047,100.00 ","$27,949,300,729,028,400.00 "
I Now Pronounce You Chuck & Larry,2007,Comedy, Romance,,115,USA,English,Dennis Dugan,"Barry Fanaro, Alexander Payne","Adam Sandler, Kevin James, Jessica Biel, Dan Aykroyd, Ving Rhames, Steve Buscemi, Nicholas Turturro, Allen Covert, Rachel Dratch, Richard Chamberlain, Nick Swardson, Blake Clark, Mary Pat Gleason, Matt Winston, Lance Bass",Adam Sandler,"Adam Sandler, Kevin James","Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits.","Two straight, single Brooklyn",5.9,"$106,099,753.06 ","$149,862,226.41 ","$64,862,226.41 ","$27,049,965,466,242,500.00 ","$27,049,965,360,142,700.00 "
The Bucket List,2007,Comedy, Drama,,97,USA,English,Rob Reiner,Justin Zackham,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd, Rob Morrow, Alfonso Freeman, Rowena King, Annton Berry Jr., Verda Bridges, Destiny Brownridge, Brian Copeland, Ian Anthony Dale, Jennifer Defrancisco, Angela Gardner, Noel Gugliemi",Jack Nicholson,"Jack Nicholson, Morgan Freeman",Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.,Two terminally ill men escape,7.4,"$56,170,457.50 ","$116,667,915.08 ","$71,667,915.08 ","$25,349,841,059,867,000.00 ","$25,349,841,003,696,500.00 "
Evan Almighty,2007,Comedy, Family, Fantasy,96,USA,English,Tom Shadyac,"Steve Oedekerk, Steve Oedekerk","Steve Carell, Morgan Freeman, Lauren Graham, Johnny Simmons, Graham Phillips, Jimmy Bennett, John Goodman, Wanda Sykes, John Michael Higgins, Jonah Hill, Molly Shannon, Harve Presnell, P.J. Byrne, Ralph Louis Harris, Arden Myrin",Steve Carell,"Steve Carell, Morgan Freeman",God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,God contacts Congressman Evan,5.4,"$218,440,668.07 ","$125,400,294.24 ","($49,599,705.76)","$25,215,153,900,057,400.00 ","$25,215,153,681,616,700.00 "
No Country for Old Men,2007,Crime, Drama, Thriller,122,"USA, Mexico",English,"Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson, Kelly Macdonald, Garret Dillahunt, Tess Harper, Barry Corbin, Stephen Root, Rodger Boyce, Beth Grant, Ana Reeder, Kit Gwin, Zach Hopkins, Chip Love",Tommy Lee Jones,"Tommy Lee Jones, Javier Bardem",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Violence and mayhem ensue after,8.1,"$31,205,809.72 ","$92,723,226.70 ","$67,723,226.70 ","$24,808,458,167,834,100.00 ","$24,808,458,136,628,300.00 "
Superbad,2007,Comedy,,,113,USA,English,Greg Mottola,"Seth Rogen, Evan Goldberg","Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader, Seth Rogen, Martha MacIsaac, Emma Stone, Aviva Baumann, Joe Lo Truglio, Kevin Corrigan, Clement Blake, Erica Vittina Phillips, Joe Nunez, Dave Franco, Marcella Lentz-Pope",Jonah Hill,"Jonah Hill, Michael Cera",Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,Two co-dependent high school seniors,7.6,"$24,964,647.78 ","$151,614,332.77 ","$131,614,332.77 ","$24,690,703,136,198,600.00 ","$24,690,703,111,234,000.00 "
Meet the Robinsons,2007,Animation, Adventure, Comedy,95,USA,English,Stephen J. Anderson,"Jon Bernstein, Michelle Bochner Spitz","Angela Bassett, Daniel Hansen, Jordan Fry, Matthew Josten, John H. H. Ford, Dara McGarry, Tom Kenny, Laurie Metcalf, Don Hall, Paul Butcher, Tracey Miller-Zarneke, Wesley Singerman, Michaela Jill Murphy, Stephen J. Anderson, Ethan Sandler",Angela Bassett,"Angela Bassett, Daniel Hansen","Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate.",Lewis is a brilliant inventor,6.8,"$187,234,858.35 ","$122,104,802.20 ","($27,895,197.80)","$24,476,844,711,293,700.00 ","$24,476,844,524,058,800.00 "
Norbit,2007,Comedy, Romance,,103,USA,English,Brian Robbins,"Eddie Murphy, Charlie Murphy","Eddie Murphy, Thandie Newton, Terry Crews, Clifton Powell, Lester Speight, Cuba Gooding Jr., Eddie Griffin, Katt Williams, Floyd Levine, Anthony Russell, Pat Crawford Brown, Jeanette Miller, Michael Colyar, Marlon Wayans, Alexis Rhee",Eddie Murphy,"Eddie Murphy, Thandie Newton","A mild-mannered guy, who is married to a monstrous woman, meets the woman of his dreams, and schemes to find a way to be with her.","A mild-mannered guy, who is married",4.1,"$74,893,943.34 ","$119,422,895.03 ","$59,422,895.03 ","$23,100,952,967,892,900.00 ","$23,100,952,892,999,000.00 "
P.S. I Love You,2007,Comedy, Drama, Romance,126,USA,English,Richard LaGravenese,"Richard LaGravenese, Steven Rogers","Hilary Swank, Gerard Butler, Lisa Kudrow, Gina Gershon, James Marsters, Kathy Bates, Harry Connick Jr., Nellie McKay, Jeffrey Dean Morgan, Dean Winters, Anne Kent, Brian McGrath, Sherie Rene Scott, Susan Blackwell, Michael Countryman",Hilary Swank,"Hilary Swank, Gerard Butler",A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,A young widow discovers that her,7,"$37,446,971.67 ","$67,024,846.70 ","$37,024,846.70 ","$22,670,321,007,453,900.00 ","$22,670,320,970,006,900.00 "
Sweeney Todd: The Demon Barber of Fleet Street,2007,Drama, Horror, Musical,116,"USA, UK",English,Tim Burton,"John Logan, Hugh Wheeler","Johnny Depp, Helena Bonham Carter, Alan Rickman, Timothy Spall, Sacha Baron Cohen, Jamie Campbell Bower, Laura Michelle Kelly, Jayne Wisener, Ed Sanders, Gracie May Weldon, Ava May, Gabriella Freeman, Jody Halse, Aron Paramor, Lee Whitlock",Johnny Depp,"Johnny Depp, Helena Bonham Carter","The infamous story of Benjamin Barker, aka Sweeney Todd, who sets up a barber shop in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett.",The infamous story of Benjamin,7.3,"$62,411,619.45 ","$66,029,088.03 ","$16,029,088.03 ","$22,171,381,039,177,500.00 ","$22,171,380,976,765,900.00 "
Surf's Up,2007,Animation, Comedy, Family,85,USA,English,"Ash Brannon, Chris Buck","Don Rhymer, Ash Brannon","Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder, James Woods, Diedrich Bader, Mario Cantone, Kelly Slater, Rob Machado, Sal Masekela, Ash Brannon, Chris Buck, Brian Posehn, Dana Belben, Reed Buck",Shia LaBeouf,"Shia LaBeouf, Jeff Bridges","A behind-the-scenes look at the annual Penguin World Surfing Championship, and its newest participant, up-and-comer Cody Maverick.",A behind-the-scenes look at the,6.7,"$124,823,238.90 ","$73,480,562.32 ","($26,519,437.68)","$21,972,205,566,992,200.00 ","$21,972,205,442,169,000.00 "
The Game Plan,2007,Comedy, Family, Sport,110,USA,English,Andy Fickman,"Nichole Millard, Kathryn Price","Dwayne Johnson, Madison Pettis, Kyra Sedgwick, Roselyn Sanchez, Morris Chestnut, Hayes MacArthur, Brian White, Jamal Duff, Paige Turco, Tubbs, Gordon Clapp, Kate Nauta, Robert Torti, Jackie Flynn, Lauren Storm",Dwayne Johnson,"Dwayne Johnson, Madison Pettis",An NFL quarterback living the bachelor lifestyle discovers that he has an 8-year-old daughter from a previous relationship.,An NFL quarterback living the,6.1,"$27,461,112.56 ","$113,150,021.74 ","$91,150,021.74 ","$21,375,918,220,616,000.00 ","$21,375,918,193,154,900.00 "
Resident Evil: Extinction,2007,Action, Horror, Sci-Fi,94,"France, Australia, Germany, UK, USA, Mexico, Canada",English,Russell Mulcahy,Paul W.S. Anderson,"Milla Jovovich, Oded Fehr, Ali Larter, Iain Glen, Ashanti, Christopher Egan, Spencer Locke, Matthew Marsden, Linden Ashby, Jason O'Mara, Mike Epps, Joe Hursley, John Eric Bentley, James Tumminia, Kirk B.R. Woller",Milla Jovovich,"Milla Jovovich, Oded Fehr","Survivors of the Raccoon City catastrophe travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against the evil Umbrella Corp.",Survivors of the Raccoon City,6.3,"$56,170,457.50 ","$63,221,321.59 ","$18,221,321.59 ","$21,352,398,725,873,100.00 ","$21,352,398,669,702,600.00 "
Music and Lyrics,2007,Comedy, Music, Romance,104,USA,English,Marc Lawrence,Marc Lawrence,"Hugh Grant, Scott Porter, Nick Bacon, Andrew Wyatt, Dan McMillan, Tom Foligno, Zak Orth, Brooke Tansley, Daniel Stewart Sherman, Brad Garrett, Aasif Mandvi, Drew Barrymore, Haley Bennett, Matthew Morrison, Jason Antoon",Hugh Grant,"Hugh Grant, Scott Porter","A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.",A washed up singer is given a,6.5,"$49,929,295.56 ","$63,126,343.59 ","$23,126,343.59 ","$21,089,116,404,938,300.00 ","$21,089,116,355,009,000.00 "
